Thème,French,English
,Est-ce que tu aurais une cigarette?,Do you have a cigarette? 
,On peut se revoir?,Shall we meet again?
,Est-ce que vous auriez un plan de la ville?,Do you have a map of the city? (formal)
,Comment on y va?,How do we get there?
,C'est gratuit?,Is it free?
,Quand est-ce que ça a été construit?,When was it built?
,Il paraît qu'il y a une très bonne exposition en ce moment,It's said that there is a very good exhibition these days
,Est-ce-qu'il y a des réductions pour seniors ?,Are there discounts for seniors?
,J'ai cette carte d'étudiant de mon université,I have this student card from my university
,Est-ce que c'est ouvert le dimanche?,Is it open on sundays?
,C'est trop touristique,It is too touristy
,A quelle heure est la prochaine visite guidée?,When is the next guided tour?
,Combien de temps dure la visite?,How long will the visit take?
,On n'a pas eu le temps de tout voir,We have not had time to see everything
,Vous avez votre carte d'étudiant?,Do you have your student card with you?
,Une visite guidée va commencer dans dix minutes,A guided tour will start in ten minuts
,exposition permanente,permanent exhibition
,exposition temporaire,temporary exhibition
,flash interdit,No flash
,photos interdites,No photos
,sens de la visite,Sequence of the visit (in a museum ) 
,"silence, s'il vous plaît","Be silent, please (pannel at the entrance of a church for instance)"
,C'est devenu très touristique,I has become very touristy
,J'ai des courbatures,I am stiff
,On s'arrête pour pique-niquer ?,Shall we stop and picnic?
,Où peut-on louer des vélos?,Where can we rent bikes?
,On a joué au tennis,We played tennis
,Je n'en ai jamais fait,"I have never tried (context: an activity, like surf)"
,Y a-t-il une piscine par ici?,Is there a swimming pool nearby?
,Je voudrais prendre des cours de surf,I would like to take surfing lessons
,Je voudrais louer une planche de surf,I would like to rent a surf board
,Il faut verser un acompte de 200 euros,You have to make a 200 euros deposit
,Vous en avez déjà fait ou vous êtes débutant?,"Have you already tried or you are a begginer? (cnotext: for instance, the surf instructor asking)"
,Est-ce que tu sais jouer au bridge?,Can you play bridge?
,Tu sais nager?,Can you swim?
,On se fait une partie de cartes?,Let's pay a card game?
,C'est à ton tour de jouer,It is your turn
,Est-ce que tu as un jeu de cartes?,Do you have a card deck with you? (not sure of the translation)
,Où est le supermarché le plus proche?,Where is the nearest supermarket?
,Je n'ai pas assez d'argent,I do not have enough money
,Est-ce que vous savez où je peux en trouver?,Do you know where I can find some?
,Est-ce que je peux avoir un sac?,May I have a bag?
,Je n'ai pas beaucoup d'argent,I do not have much money
,Vous pouvez me faire un rabais?,Can you give me a discount?
,"C'est bon, je le prends","It's ok, I'll take it"
,Vous avez fait une erreur en me rendant la monnaie,You have made a mistake in the change
,fermé de 12h à 15h,Closed from 12 p.m to 3 p.m
,et avec ceci?,anything else? (baker asking)
,Où est-ce-qu'on paie?,Where should I pay?
,Je vais payer en liquide,I'll pay in cash
,Je peux avoir un reçu?,May I have a receipt
,"désolé, je n'ai pas de monnaie","Sorry, I do not have any change"
,Est-ce que vous pouvez me faire la monnaie ?,Could you give me some change?
,Vous n'avez pas de monnaie?,You don't have any change?
,Vous réglez comment?,"How do you pay? (cash, credit card ...)"
,Où est-ce-qu'on peut acheter à manger à cette heure-ci?,Where can we buy something to eat right now? (context: it is late and most restaurants are closed)
,Il y a un épicier tout près d'ici qui reste ouvert tard le soir,There is a grocer very close from here that stays open late at night
,Deux kilos de carottes s'il vous plaît,Two kilos of carrots please
,Est-ce que c'est possible de goûter?,"Is it possible to taste it? ( in the market, some chees for instance)"
,Il y a un marché tous les mardis jusqu'à midi,There is a market every tuesday till noon
,C'est pour quatre personnes,It is for four peple (buying a dish at the market for isntance)
,Est-ce que ça se conserve bien?,"Can it be stored for a long time (context: cheese, etc)"
,Je cherche le rayon femmes,I am looking for the women's department
,"Non, merci, je regarde seulement","No, thanks, I am just having a look (answer to: may I help you, salesperson in coth shop)"
,Je peux l'essayer?,Can I try it on?
,Où sont les cabines d'essayage?,Where are the changing rooms?
,C'est trop court/large/long/serré,It is too short/large/long/tight (cloth)
,Est-ce que vous l'avez en noir?,Do you have it in black? (cloth)
,Est-ce que vous avez la taille du dessus/ du dessous?,Do you have this in the next size up/down?
,Je vais réfléchir,"I'll think about it? (context; buying some stuff, talking with the salesperson)"
,"Bonjour, je peux vous aider?","Hello, may I help you?"
,Il ne nous en reste plus dans cette taille,"We haven't got this size anymore? (check, talking about clothes)"
,Il nous en reste en noir,We have some left in black (clothes)
,Je vais voir s'il en reste dans la réserve,I'll check if there are some left in the storeroom (context: for instance a pair of shoes)
,"Alors, qu'est-ce que vous en pensez?","So, what do you think about it?"
,ça vous va bien,It suits you (formal)
,Je cherche un cadeau pour une petite fille,I am looking for a present for a little girl
,Je cherche quelque chose de facile à transporter,I am looking for something easy to carry (looking for a present in a shop)
,Est-ce que vous pouvez me faire un paquet-cadeau?,Could you gift wrap it?
,C'est pour offrir?,Is it for a present?
,Est-ce que vous pourriez nous prendre en photo?,Could you take a picture of us
,il suffit d'appuyer sur ce bouton,You just have to press this button (explaining to someone how to use your camera)
,Combien est-ce que ça coûte pour développer 100 photos?,How much does it cost to get 100 photos developed?
,"Je viens chercher mes photos (contexte: dans un magasin de photos, il vient chercher les photos qu'il a fait développer)",I'd like to pick up my photos (in the shop where they develop it)
,Je n'ai pas pris beaucoup de photos,I haven't taken many pictures
,Le flash ne marche pas,The flash does not work
,C'est peut-être la batterie qui est morte,The batery might be flat
,Vous les voulez pour quand?,When do you want them?
,Vos photos seront prêtes demain,Your photos will be ready tomorrow
,On peut les développer en deux heures,We can have them developed in two hours (photos)
,Je cherche un bureau de change,I am looking for a bureau de change
,Est-ce que les banques sont ouvertes le samedi?,Are banks open on saturdays?
,Où est le distributeur automatique le plus proche?,Where is the nearest ATM?
,Je voudrais changer cinquante euros,I would like to change fifty euros
,A quelle heure ferme la banque?,What time does the bank close
,J'ai perdu ma carte de crédit,I have lost my credit card
,Je souhaiterais faire opposition à ma carte de crédit,I would like to stop my card (credit card)
,On m'a volé ma carte de crédit,My credit card was stolen
,Est-ce-qu'il y a un bureau de poste par ici?,Is there a post office nearby?
,Je cherche une boîte aux lettres,I am looking for a letter box
,Est-ce que la poste est ouverte le samedi?,Is the post office open on saturdays?
,Je voudrais un timbre pour l'Angleterre,I would like a stamp for England
,Combien coûte un timbre pour l'Espagne?,How much does a stamp for Spain cost?
,Combien coûte l'envoi d'un colis par avion pour la France?,How much does it cost to send a parcel by air to France?
,Combien de temps est-ce que cela met pour arriver?,How long does it take to reach
,Où est-ce que je peux trouver des enveloppes?,Where can I get envelopes?
,Ca met environ une semaine,It takes around a week (context: for a letter to reach)
,Ca met entre 12 et 15 jours,It takes between 12 and 15 days (context: for a letter to reach)
,Où est-ce que je peux trouver un café Internet?,Where can I find a cyber cafe?
,Je dois aller dans un café Internet pour regarder mes mails,I have to go to a cyber cafe to check my mail
,Je n'arrive pas à me connecter à Internet,I can't connect to Internet
,Est-ce que vous pouvez m'aider?,Could you help me?
,ça ne marche pas,It does not work
,Le micro ne marche pas,The microphone does not work
,Est-ce que la connection est bonne?,Is the internet connection speed good?
,La connection ne marche plus,The internet connection does not work anymore
,Je souhaiterais acheter une carte de téléphone,I would like to buy a phone card
,Une carte de téléphone de 30 minutes s'il vous plaît,A 30-minute calling card please
,Où est-ce que je peux trouver une cabine téléphonique par ici?,Where can I find a phone box nearby?
,Je ne vous entends pas bien,I can't hear you properly
,Vous avez un numéro de portable?,Do you have a cell phone number? (formal)
,Est-ce que tu as un numéro de portable?,Do you have a cell phone number? (informal)
,Où est-ce que je peux vous joindre?,Where can I contact you? (asking for an adress)
,Le numéro que vous avez demandé n'est pas attribué,The number you have dialed is unallocated
,"allô, qui est à l'appareil?","Hello, who's speaking?"
,C'est de la part de qui?,"And who is asking for him? (on the phone, before passing through to someone else)"
,"Allô, Jim? C'est Brian","Hello, Jim? It's Brian"
,"Allô, c'est Brian, est-ce que je suis bien chez Jim?","Hello, it's Brian, am I at Jim's place? (calling a landline, getting someone else on the phone)"
,"Allô, bonjour, je voudrais parler à Mr. X de la part de Mr. Y","Hello, I would like to spak to"
,Vous vous êtes trompés de numéro,You  dialed the wrong number (formal)
,C'était un faux numéro (parlant à un quelqu'un à côté de soi),It was a misdial
,"Un instant, je vous le passe","Hold on line, I'll put you through"
,Ne quittez pas,Hold on line
,Il est sorti,He has left
,Il vient de sortir,He has just left
,Je vous le passe,I'll put you through to him now
,Il sera de retour dans une heure,He will be back in an hour
,Est-ce que vous pouvez lui dire que j'ai appelé?,Could you tell him I have called?
,Je m'appelle Brian et mon numéro est le 0650505050,My name is Brian and my number is 06 50 50 50 50
,Est-ce que vous pouvez lui demander de me rappeler?,Could you ask him to call me back?
,Est-ce que vous savez quand je peux le joindre?,Do you know when I can reach him?
,Il peut me joindre au ...,He can reach me at ...
,Est-ce que vous savez où je peux le joindre?,Do you know where I can reach him?
,Je rappelerai plus tard,I'll call back later
,"Je vous remercie, au revoir","Thank you, good bye (end of a phone call)"
,On s'appelle bientôt,Let's call each other soon
,"Il n'est pas là, vous voulez que je lui transmette un message?","He is not here at the moment, do you want me to leave him a message?"
,Je lui dirai que vous avez appelé,I'll tell him you have called
,Veuillez laisser un message après le bip,Please leave a message after the tone
,Quel est l'indicatif de la ville?,What is the town dialling code?
,ça sonne occupé,It's engaged (telephone line)
,ça ne répond pas,No one answers (on the phone)
,ça ne capte pas bien,The reception is lousy (for a cell phone)
,Il ne me reste presque plus d'unités sur ma carte,There is almost no unit left on the phone card
,Vous avez dû vous tromper de numéro,You must have dialled the wrong number
,On a été coupés,The line was cut
,Je passe sous un tunnel,I am going through a tunnel
,ça va couper,my call's gonna drop (informal)
,ça va sûrement couper,my call's surely gonna drop (informal)
,Est-ce que tu aurais de l'aspirine?,Do you have any aspirin?
,J'ai été piqué par un insecte,I have been bitten by a bug
,J'ai été mordu par un serpent,I have been bitten by a snake
,J'ai été piqué par une araignée,I have been bitten by a spider
,J'ai mal ici,It hurts me here
,ça vous fait mal?,Does it hurt you?
,ça me fait mal depuis ce matin,It hurts since this morning
,Je ne sais pas ce que c'est,I do not know what it is (speaking of a disease)
,ça fait trois jours,It has started during the night
,ça a commencé dans la nuit,It has started during the night
,J'ai mal à la tête,I have a headache
,J'ai mal au coeur,I fell queasy
,J'ai mal au ventre,I have got a tummyache
,J'ai mal au dos,I have a backache
,J'ai mal à la gorge,I have a throat ache
,J'ai mal aux dents,I have got a toothache
,ça s'est aggravé,It has gotten worse
,C'est la première fois que ça m'arrive,It is the first time
,J'ai de la fièvre depuis hier,I have been feverish since yesterday
,Elle a de la fièvre depuis hier,She has been feverish since yesterday
,Je suis sous antibiotiques depuis trois jours,I have been taking antibiotics for three days
,J'ai de l'asthme,I have asthma
,Je suis cardiaque,I have a heart condition
,ça me démange, It itches
,Je me suis tordu la cheville,I have twisted my ankle
,Je suis enceinte de trois mois,I am three months pregnant
,Je prends la pilule,I am on the pill
,Est-ce que c'est grave?,Is it serious? (disease)
,Est-ce que c'est contagieux?,Is it contagious?
,Comment va-t-il?,How is he doing? (talking of a sick person)
,"Attendez dans la salle d'attente, on va s'occuper de vous","Please wait in the waiting room, you are going to be taken care of (not sure whether it is correct)"
,Où est-ce que ça vous fait mal?,Where does it hurt you?
,Respirez fort,Breathe deeply
,"Allongez-vous, s'il vous plaît",Please lie down
,ça vous fait mal quand j'appuie là?,Does it hurt when I press here?
,Etes vous vacciné contre le tétanos?,Have you been vaccinated against tetanos?
,Est-ce que vous avez des allergies?,Do you have any allergies?
,Est-ce que vous êtes allergique aux antibiotiques?,Are you allergic to antibiotics?
,Avez-vous des traitements en cours?,Are you having a medical treatment? (Doctor asking)
,Je suis allergique à l'aspirine,I am allergic to Aspirin
,Il va falloir opérer,You'll need to have an operation
,Il faut vous faire opérer immédiatement,You must have an operation immediatly
,Prenez trois comprimés par jour pendant une semaine,Take three tablets a day during a week
,ça devrait passer en quelques jours,It should be gone in a few days
,ça devrait guérir rapidement,It should heal quickly
,Revenez me voir dans une semaine,"Come back in a week (doctor speaking, formal)"
,"Je voudrais une boîte de pansements, s'il vous plaît","I would like some plasters, please"
,J'ai attrapé un rhume,I caught a cold
,Est-ce que vous avez quelque chose contre la toux?,Do you have anything against cough? (medicine)
,Est-ce que vous avez quelque chose contre la diarrhée?,Do you have anything against diarrhea?
,au secours!,Help!
,attention!,Be careful!
,C'est urgent,It is urgent
,Est-ce-qu'il y a quelqu'un ici qui parle anglais?,Does anyone here speak English?
,Je dois contacter le consulat,I have to contact the consulate
,Qu'est-ce que je dois faire?,What should I do?
,J'ai été agressé,I have been assaulted
,On m'a volé mes papiers,My passport was stolen 
,Mon fils a disparu,My son has disappeared
,Ma voiture a été emmenée à la fourrière,My car has been taken to the car pound
,On a forcé la porte de ma voiture,My car door was broken open
,Pouvez-vous surveiller mes affaires?,Could you keep a watch on my belongings? (formal)
,Est-ce que tu peux surveiller mes affaires?,Could you keep a close eye on my stuff? (informal)
,Il est en train de se noyer,He is drowning
,Il faut faire une déclaration de vol,You have to file a police report for stolen property
,"J'ai besoin d'un certificat de police pour mon assurance
",I need a police certificate for my insurance
,Pouvez-vous ouvrir ce sac s'il vous plaît?,Could you open this bag please? (formal)
,où logez-vous?,"Where do you stay? (meaning in which hotel, formal)"
,Quand est-ce que cela s'est passé?,When did it happen?
,Pouvez-vous le décrire?,"Can you describe him? (police station, describing the person who assaluted you)"
,Pouvez-vous remplir ce formulaire s'il vous plaît,Could you fill up this form please? (formal)
,Pouvez-vous signer ici s'il vous plaît,Please sign here
,"désolé, je suis en retard","Sorry, I am late"
,Je suis arrivé trop tard,I reached too late
,à vendredi,See you on friday
,On a attendu assez longtemps,We have waited for a pretty long time
,Dépêchez-vous s'il vous plaît,Please hurry up (formal)
,Dépêche-toi,Hurry up (informal)
,Je suis pressé,I am on a hurry
,Je n'ai pas le temps,I do not have time
,Je me suis couché tard hier soir,I went to sleep late last night
,Je me suis levé très tôt,I woke up very early
,Je dois me réveiller très tôt demain matin,I have to wake up very early in the morning
,Je suis déjà venu il y a quelques années,I came here a few years ago
,C'est la deuxième fois que je viens,It is my second time here
,On est le combien aujourd'hui?,What is today's date?
,On est quel jour aujourd'hui?,what day is today? (informal)
,Je reste jusqu'à lundi,I'll stay till Monday (talking with the hotel staff)
,C'est ouvert tous les jours,It is open everyday
,Vous restez jusqu'à quand?,Until when are you staying?
,Quand est-ce que vous repartez?,"When will you leave? (hotel staff asking, in the sense, what day?)"
,Quelle heure est-il?,What time is it?
,"Excusez-moi, est-ce que vous pourriez me dire l'heure, s'il vous plaît?","Excuse me, could you please tell me the time? (formal)"
,J'ai mis le réveil à sept heures,I set the alarm clock at 7 a.m
,A quelle heure est-ce que cela ouvre?,What time does it open?
,un quart d'heure,Fifteen minutes/ a quarter hour
,trois quarts d'heure,Forty five minutes/
,Il est presque midi,It is almost noon
,Il est une heure et demi,It is half past one  (p.m)
,Il est deux heures et quart,It is quarter past two  (p.m)
,Il est trois heures moins le quart,It is quarter to three (p.m)
,Il est quatre heures cinq,It is five past four (p.m)
,Il est cinq heures moins vingt,It is twenty to five (p.m)
,Il est six heures pile,It is six o'clok sharp
,Je me suis couché vers une heure du matin,I went to sleep around 1 a.m
,Je suis rentré il y a deux heures,I came back two hours ago
,On se retrouve dans vingt minutes?,Let's meet in 20 minuts?
,ça ouvre à neuf heures,It opens at nine
,ça rouvre à trois heures,It reopens at three
,Gardez la monnaie,Keep the change
,C'était délicieux,It was delicious (food)
,Que représente ce montant? (sur une addition),What does this amoun྇྇t stand for? (in a bill)
,C'est quelle gare?,"Which station is it? (context, train)"
,C'est quelle station? (bus ou métro),"Which stop is it? (context, bus)"
,Il faut combien de temps pour y aller?,How long does it take to get there?
,Enchanté,Pleased to meet you
,"Excusez-moi, pouvez-vous me dire où est l'hôtel X?","Excuse me, could you tell me where to find the hotel X?"
,Qu'est-ce que vous voulez?,What do you want?
,C'est important,It is important
,Le/La/Les voici,"Here it, he, she is/ Here they are"
,Le/La/Les voilà,"There it, he, she is/There they are"
,Il y en a (un indénombrable comme du lait),"There is some (for instance, milk)"
,Il n'y en a pas (un indénombrable comme du lait),"There is not any (for instance, milk)"
,Il y a ...,There is ...../There are ....
,Y-a-t'il ...?,Is there... / Are there .... ?
,Je n'ai rien à déclarer,I have nothing to declare (customs)
,C'est pour mon usage personnel,It is for my personal use
,"Votre passeport, s'il vous plaît","Your passport, please (officer asking for it)"
,Avez-vous quelque chose à déclarer?,Do you have anything to declare?
,Avez-vous d'autres bagages?,Do you have some other bagages?
,Il y a des droits de douane à payer sur cet article,There are customs duties to pay on this item
,Où sont les chariots à bagages?,Where are the luggage trolleys?
,Où puis-je trouver un taxi?,Where can I get a cab?
,Pourriez-vous m'aider à porter mes bagages?,Could you help me with my luggage?
,Pourriez-vous conduire un peu plus lentement?,Could you please drive a little bit more slowly?
,Quel est le montant de la caution?,How much is the deposit?
,Avez-vous des tarifs spéciaux? (contexte: location de voiture),Do you have special fares? (renting a car)
,Où est la station de taxis?,Where is the taxi station?
,Pourriez-vous m'appeler un taxi?,Could you call me a taxi? (hotel reception)
,Quel est le tarif pour l'aéroport?,How much does it cost to get to airport?
,Conduisez-moi à cette adresse,Could you take me to this adress?
,Arrêtez-vous ici s'il vous plaît,Please stop here (telling to a taxi)
,Je reviens dans cinq minutes,I am back in 5 minutes
,Pourriez-vous m'attendre?,Could you please wait for me? (talking to a taxi)
,Je voudrais une chambre pour deux personnes,I would like a room for two people
,Avec des toilettes dans la chambre,With toilets in the room
,Est-ce que je peux voir la chambre?,Can I see the room?
,"Non, elle ne me plaît pas","No, I don't like it"
,Est-ce que vous auriez une chambre avec une plus belle vue?,Do you have a room with a nicer view?
,Quel est la numéro de ma chambre?,What is my room number?
,Numéro de passeport,passport number
,Vous allez rester combien de temps?,How long are you going to stay?
,Je voudrais déposer ceci dans le coffre fort de l'hôtel,I would like leave this in the safe box of the hotel
,Pouvez-vous faire monter nos bagages?,Could you have our luggage taken up?
,Où est-ce que je peux garer ma voiture?,Where can I park my car?
,Pourriez-vous me réveiller à sept heures demain matin?,Could you wake me up at seven tomorrow morning?
,Où est la prise pour rasoirs?,Where is the power socket for the electric shaver?
,Sortie de secours,Emergency exit
,La fenêtre est bloquée,The window is stuck
,A quelle heure servez-vous le petit déjeuner?,When is breakfast served?
,Y a-t-il un message pour moi?,Has someone left me a message?
,L'ampoule est grillée,The light bulbl burnt out
,Les rideaux sont coincés,The curtains are stuck
,Mon lit n'a pas été fait,My bed has not been made yet
,Est-ce qu'il serait possible de faire le ménage dans la chambre?,Could someone clean the room?
,L'interrupteur ne fonctionne pas,The switch does not work (light switch in a hotel room)
,Pouvez-vous le faire réparer?,Could you have it repair?
,Je voudrais faire laver ces vêtements,I would like to have these clothes washed
,Quand seront-il prêts?,When will they be ready? (clothes)
,Il me les faut pour ce soir,I need them tonight (clothes)
,Il manque quelque chose,Something is missing
,Il y a un trou,There is hole
,Je pars tôt demain matin,I leave soon tomorrow morning
,Pourriez-vous me préparer la note?,Could you prepare the bill? (the day you leave the hotel)
,Tout est compris?,Everything is included?
,Notre séjour a été très agréable,We enjoyed our stay a lot
,Pouvons-nous camper ici?,Can we camp here?
,Où sont les douches?,Where are the showers?
,Pouvez-vous me recommander un bon restaurant?,Could you recommend us a good restaurant?
,Pourrions-nous avoir une table dans le coin non-fumeur?,Could we have a table in the non-smoking section?
,Mademoiselle! (pour appeler la serveuse),Miss! (calling the waitress)
,Que conseillez-vous?,What do you recommand? (asking to the waitress)
,Avez-vous quelque chose qui soit prêt rapidement?,"Do you have something that can be ready quickly? (context: restaurant, to eat)"
,Avez-vous des plats végétariens?,Do you have vegan food?
,Puis-je avoir de l'édulcorant?,May I have some sweetener?
,Je voudrais un dessert s'il vous plaît,I would like a desert please
,Est-ce que vous pouvez nous apporter la carte des desserts?,Coul you bring us the dessert menu?
,santé! (en trinquant),Cheers! (while drinking)
,Une bouteille d'eau gazeuse s'il vous plaît,"A bottle of sparkling water, please"
,La viande est trop cuite,The meat is overcooked
,La viande n'est pas assez cuite,The meat is undercooked
,Pourquoi y a-t-il autant d'attente?,Why does it take so long? (after an order at the restaurant)
,Nous voudrions régler séparément,We would like to pay separately (formal)
,Y a-t-il un bus pour l'aéroport?,Is there a bus to get to the airport?
,Le prochain train part dans une heure,The next train leaves in an hour
,Est-ce-qu'il y a une correspondance?,Is there a connection?
,Combien de temps le train s'arrête t-il ici?,How long does the train stop here?
,Quelles sont les heures d'ouverture ? (musée),What are the opening hours? (museum)
,Qui a peint ce tableau?,Who painted it?
,A quelle heure le spectacle commence t-il?,What time does the show begin?
,Y a-t-il encore des places pour ce soir?,Are there still places available for tonight? (show)
,Où est le vestiaire?,Where is the cloakroom?
,De quelle nationalité êtes vous?,What is your nationality? (formal)
,Êtes-vous marié?,Are you married? (asking a man)
,Êtes-vous mariée?,Are you married? (asking a woman)
,Est-ce que vous jouez aux échecs?,Do you play chess?
,Qu'il fait froid!,It is very cold! (weather)
,Est-ce que ça vous dérange si je fume?,Do you mind if I smoke? (formal)
,Est-ce que vous avez du feu? (poli),Do you have a light? (polite)
,Êtes-vous libre ce soir?,Are you free tonight?
,"Laissez-moi tranquille, s'il vous plaît","Leave me alone, please"
,Comment puis-je m'y rendre?,How can I get there?
,Je ne fais que regarder (dans une boutique),I am just looking (dismissing a seller in a shop)
,Est-ce que vous vendez des moustiquaires?,Do you (formal) sell mosquito nets?
,Je ne veux pas dépenser plus de dix euros,I do not want to spend more than 10 euros
,Notre stock est épuisé,"Our stock is empty (check, could be said better)"
,La caisse est là-bas,The check out is there (in a supermarket)
,Un paquet de cigarettes s'il vous plaît (au tabac),A packet of cigaret please (context: buying)
,Je voudrais quelque chose contre les coups de soleil,I would like something against sunburns
,Puis-je l'obtenir sans ordonnance?,Can I get it without prescription? ( a drug)
,Je voudrais envoyer ceci en recommandé,I would like to send this by registered mail
,Je voudrais envoyer ceci par avion,I would like to send this by air mail
,Pouvez-vous m'appeler un médecin?,Could you call for a doctor?
,Ma tension est trop élevée,My blood pressure is too high
,Je n'arrive pas à manger/dormir depuis trois jours,I haven't been able to eat/sleep for the past three days
,Joyeux anniversaire,Happy birthday!
,Bonne chance,Good luck!
,Bon voyage,Have a nice trip!
,Bonnes vacances,Have a good holiday!
,Je dois partir maintenant,I have to leave now
,Est-ce que vous pouvez vérifier les pneus?,Could you check the tyres?
,Le moteur chauffe,The engine is overheating
,Le liquide de freins fuit,The brake fluid is leaking
,Il y a un bruit bizarre,There is a strange noise
,Il faut vérifier le niveau d'huile,The oil level has to be checked
,Veuillez payer en avance s'il vous plaît,Please pay in advance (formal)
,Est-ce que c'est le bon quai pour le train de Milan?,It is the right platform for Milan?
,Le vol aura combien d'heures de retard?,How many hours will the flight be delayed?
,A quelle fréquence passe le bus?,How often does the bus run?
,Est-ce que vous pourriez ouvrir/fermer la fenêtre? (dans le bus ou le train),Could you open/close the window (train/bus)
,J'aimerais une coupe (chez le coiffeur),I would like a haircut (at the hairdresser)
,Pas trop court s'il vous plaît,Not too short please (at the hairdresser)
,J'aimerais prendre rendez-vous avec le Dr. Machin,I'd like to make an appointment
,Puis-je laisser mes bagages ici?,Can I leave my luggage here?
,Est-ce que c'est sous garantie? (un appareil photo par exemple),Is there a warranty?
,Est-ce que je peux vous prendre en photo?,Do you mind if I take a picture of you?
,Est-ce que je peux prendre votre maison en photo?,Do you mind if I take a picture of your house?
,Voici ma carte de visite,Here is my business card
,Cela vous dirait d'aller manger quelque part?,Shall we eat somewhere?
,C'est toi qui invite cette fois,"This time, it is on you"
,Je voudrais consulter mes emails,I would like to check my mails
,Je voudrais envoyer un fax,I would like to send a fax
,Y a-t-il un endroit pour changer un bébé?,Is there a place where it is possible to change a baby?
,Pas de problème,No problem
,Pas question,No way (refusing something)
,Une minute (dans le sens: attendez une minute),One moment please (context: please wait a moment)
,Qu'y a-t-il à faire le soir ici?,What is there at night here?
,C'est très gentil de votre part,It is very kind of you
,Vous dansez vraiment bien,You (formal) dance really well
,Tu me plais beaucoup,I really like you (to a girl)
,Tu veux entrer quelques instants?,Do you want to come in for a little while?
,J'ai envie de toi,I want you
,Allons au lit,Let's go to bed
,Embrasse-moi,Kiss me
,Est-ce que tu as un préservatif?,Do you have a condom?
,Je ne veux pas le faire sans protection,I do not want to do it unprotected (context: having sex) 
,Plus vite,Faster (context: having sex)
,Plus lentement,More slowly (context: having sex)
,Je pense qu'on devrait en rester là,I think we should stop here
,Sors-tu avec quelqu'un d'autre?,Are you dating someone else?
,Ce soutien-gorge n'est pas à moi,This bra isn't mine
,Nous sommes seulement amis,We are just friends
,"Tu es avec moi pour le sexe, c'est tout.","You are with me just for the sex, that's it"
,Je ne pense pas que ça va marcher (relation),I do not think it is going to work out (boyfriend)
,Quelle est ta religion?,What is your religion?
,Je ne suis pas croyant,I am not a believer
,Je suis chrétien/agnostique/juif/musulman/bouddhiste,I am christian/agnostic/jew/muslim/buddhist
,ça te dirait d'aller à un match de football?,What about going to a soccer game?
,Est-ce que tu aimes le football?,Do you like soccer?
,Fais-moi la passe,Pass to me (playing soccer)
,Le service est-il compris dans l'addition?,Is the service included in the bill?
,Est-ce que tu pourrais me rendre un service?,Could you do me a favor?
,J'ai beaucoup aimé ce plat,I liked this dish a lot
,Où se trouve le poste de police?,Where is the police station?
,Je voudrais porter plainte,I would like to file a complaint
,De quoi est-ce-qu'on m'accuse?,What am I accused of?
,Vous êtes en possession de substances illicites,You are in possession of illicit substances
,On a essayé de me violer,Someone tried to rape me
,On m'a aggressé dans la rue,I was assaulted in the street
,Je ne savais pas que je faisais quelque chose de mal,I did not know that I was doing something wrong
,Ce n'est pas moi qui ai fait ça,I was not the one who did that
,Votre visa a expiré il y a un mois,Your visa expired a month ago
,Est-ce que je peux parler à mon avocat?,Can I speak to my lawyer?
,Est-ce que je dois payer une amende?,Do I have to pay a fine?
,J'ai une ordonnance pour ce médicament,I have a prescription for this drug
,Avez-vous eu des rapports sexuels non protégés récemment?,Have you had unprotected sex recently?
,Vous devez être hospitalisé,You have to be taken to a hospital
,De quand datent vos dernières règles?,When was your last period?
,Cela fait six semaines que je n'ai pas eu mes règles,I haven't had my period for the past six weeks
,Ma cheville a enflé,My ankle has swelled up
,Je n'arrive plus à bouger mon bras,I can't move my arm anymore
,Mon enfant est (très) malade,My child is (very) sick
,Je ne veux pas de transfusion sanguine,I do not want any blood transfusion
,Êtes-vous enceinte?,Are you pregnant?
,Est-ce que vous utilisez des moyens contraceptifs?,Do you use contraceptives?
,Vous êtes enceinte de 6 semaines,You are six weeks pregnant
,Internet ne marche pas,Internet does not work
,Qu'est-ce-qu'il fait chaud aujourd'hui!,Isn't it hot today!
,Il y aura du brouillard demain,It will be foggy tomorrow
,Au voleur !,Stop thief!
,On m'a volé,I was stolen
,Ta connexion est mauvaise,You are breaking up
